#	Paperdoll information for Black Gate.
#	Has two sections: one for characters and one for items.
#
#	February 4, 2006 - Derived from gumps/Paperdoll_gump_info.cc
#

%%section version
:3
%%endsection

%%section characters
#Shp: The NPC's SHAPE number; can be also a reference defined in the
#bg avatar_data data file, multiracial_imports section.
#fmale: 1 if female, 0 if male
#trans: 1 if the shape is translucent, 0 otherwise
#bsh: Body shape (in paperdol.vga)
#bf: Body frame
#hds: Head shape (in paperdol.vga)
#hf: Head frame
#hh: Head frame when wearing helmet
#ash: Arm shape
#af: Arm frame without weapons or with 1-handed weapons
#a2: Arm frame for two-handed weapons
#as: Arm frame for staves
#
#Format:
#:Shp/	fmale/		trans/	bsh/	bf/		hds/	hf/		hh/		ash/	af/		a2/		as

#	Avatar Female White
:%5/		1/		0/		13/		0/		4/		0/		1/		7/		0/		2/		4
:%11/		1/		0/		13/		0/		4/		0/		1/		7/		0/		2/		4
:989/		1/		0/		13/		0/		4/		0/		1/		7/		0/		2/		4

#	Avatar Female Brown
:%3/		1/		0/		13/		1/		4/		2/		3/		130/	0/		2/		4
:%9/		1/		0/		13/		1/		4/		2/		3/		130/	0/		2/		4

#	Avatar Female Black
:%1/		1/		0/		13/		2/		4/		4/		5/		131/	0/		2/		4
:%7/		1/		0/		13/		2/		4/		4/		5/		131/	0/		2/		4

#	Avatar Male White
:%4/		0/		0/		14/		0/		128/	0/		1/		7/		1/		3/		5
:%10/		0/		0/		14/		0/		128/	0/		1/		7/		1/		3/		5
:721/		0/		0/		14/		0/		128/	0/		1/		7/		1/		3/		5

#	Avatar Male Brown
:%2/		0/		0/		14/		1/		128/	2/		3/		130/	1/		3/		5
:%8/		0/		0/		14/		1/		128/	2/		3/		130/	1/		3/		5

#	Avatar Male Black
:%0/		0/		0/		14/		2/		128/	4/		5/		131/	1/		3/		5
:%6/		0/		0/		14/		2/		128/	4/		5/		131/	1/		3/		5

#	Iolo
:465/		0/		0/		14/		0/		125/	0/		1/		7/		1/		3/		5
#	Shamino 
:487/		0/		0/		14/		0/		126/	0/		1/		7/		1/		3/		5
#	Dupre
:488/		0/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5
#	Jaana
:490/		1/		0/		13/		0/		185/	0/		1/		7/		0/		2/		4
#	Sentri
:462/		0/		0/		14/		0/		188/	0/		1/		7/		1/		3/		5
#	Julia
:454/		1/		0/		13/		0/		186/	0/		1/		7/		0/		2/		4
#	Katrina
:452/		1/		0/		13/		0/		187/	0/		1/		7/		0/		2/		4
#	Tseramed
:460/		0/		0/		14/		0/		190/	0/		1/		7/		1/		3/		5
#	Spark
:489/		0/		0/		14/		0/		189/	0/		1/		7/		1/		3/		5
#	Female Ghost: Rowena
:299/		1/		0/		13/		0/		4/		0/		1/		7/		0/		2/		4


#	For Pick pocket mode

#	Mage
:154/		0/		0/		14/		0/		125/	0/		1/		7/		1/		3/		5
#	Ferry man
:155/		0/		0/		14/		0/		156/	0/		1/		7/		1/		3/		5
#	flying gargoyle
:226/		0/		0/		14/		0/		156/	0/		1/		7/		1/		3/		5
#	Allanger
:227/		0/		0/		14/		0/		159/	0/		1/		7/		1/		3/		5
#	Papa
:228/		0/		0/		14/		0/		159/	0/		1/		7/		1/		3/		5
#	Mama
:229/		1/		0/		13/		0/		4/		0/		1/		7/		0/		2/		4
#	Paladin
:247/		0/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5
#	Fighter
:259/		0/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5
#	Townsman
:259/		0/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5
#	Blacksmith
:304/		0/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5
#	Ghost
:317/		0/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5
#	Sage
:318/		0/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5
#	Peasant
:319/		0/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5
#	Ghost
:337/		0/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5
#	Liche
:354/		0/		0/		14/		3/		145/	0/		1/		146/	1/		3/		5
#	Kissme
:382/		1/		0/		13/		0/		127/	0/		1/		7/		0/		2/		4
#	Guard
:394/		0/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5
#	Pirate
:401/		0/		0/		14/		0/		126/	0/		1/		7/		1/		3/		5
#	Batlin
:403/		0/		0/		14/		0/		158/	0/		1/		7/		1/		3/		5
#	Mage
:445/		0/		0/		14/		0/		125/	0/		1/		7/		1/		3/		5
#	Mage
:446/		1/		0/		13/		0/		4/		0/		1/		7/		0/		2/		4
#	Sage
:448/		1/		0/		13/		0/		155/	0/		1/		7/		0/		2/		4
#	Beggar
:449/		0/		0/		14/		0/		154/	0/		1/		7/		1/		3/		5
#	Beggar
:450/		0/		0/		14/		0/		154/	0/		1/		7/		1/		3/		5
#	Noble
:451/		0/		0/		14/		0/		157/	0/		1/		130/	1/		3/		5
#	Shopkeeper
:455/		0/		0/		14/		0/		124/	0/		1/		7/		1/		3/		5
#	Noble
:456/		1/		0/		13/		0/		155/	0/		1/		7/		0/		2/		4
#	Gypsy
:457/		0/		0/		14/		1/		128/	2/		3/		130/	1/		3/		5
#	Pirate
:458/		0/		0/		14/		0/		126/	0/		1/		7/		1/		3/		5
#	Wench
:459/		1/		0/		13/		0/		127/	0/		1/		7/		0/		2/		4
#	Ranger
