Flag times-used hexadecimal (decimal)

0000:0003 ( 3 )
0001:0003 ( 3 )
0002:0000 ( 0 )
0003:0002 ( 2 )
0004:0054 ( 84 )
0005:0003 ( 3 )
0006:000E ( 14 )
0007:009F ( 159 )
0008:0039 ( 57 )
0009:0037 ( 55 )
000A:0038 ( 56 )
000B:0001 ( 1 )
000C:0002 ( 2 )
000D:0003 ( 3 )
000E:0003 ( 3 )
000F:0005 ( 5 )
0010:0004 ( 4 )
0011:0004 ( 4 )
0012:0000 ( 0 )
0013:0005 ( 5 )
0014:0000 ( 0 )
0015:0006 ( 6 )
0016:0005 ( 5 )
0017:0005 ( 5 )
0018:0006 ( 6 )
0019:000A ( 10 )
001A:0002 ( 2 )
001B:0002 ( 2 )
001C:0002 ( 2 )
001D:0002 ( 2 )
001E:0002 ( 2 )
001F:0002 ( 2 )
0020:0002 ( 2 )
0021:0002 ( 2 )
0022:0002 ( 2 )
0023:0002 ( 2 )
0024:0002 ( 2 )
0025:0002 ( 2 )
0026:0002 ( 2 )
0027:0002 ( 2 )
0028:0002 ( 2 )
0029:0000 ( 0 )
002A:0008 ( 8 )
002B:0000 ( 0 )
002C:0015 ( 21 )
002D:000A ( 10 )
002E:0000 ( 0 )
002F:0005 ( 5 )
0030:0000 ( 0 )
0031:0000 ( 0 )
0032:0006 ( 6 )
0033:0003 ( 3 )
0034:0000 ( 0 )
0035:0002 ( 2 )
0036:0001 ( 1 )
0037:0000 ( 0 )
0038:0026 ( 38 )
0039:0000 ( 0 )
003A:0000 ( 0 )
003B:0002 ( 2 )
003C:0008 ( 8 )
003D:0005 ( 5 )
003E:0045 ( 69 )
003F:0002 ( 2 )
0040:0000 ( 0 )
0041:0008 ( 8 )
0042:0002 ( 2 )
0043:0004 ( 4 )
0044:0011 ( 17 )
0045:0015 ( 21 )
0046:0002 ( 2 )
0047:0006 ( 6 )
0048:0032 ( 50 )
0049:0000 ( 0 )
004A:001C ( 28 )
004B:0000 ( 0 )
004C:0005 ( 5 )
004D:0000 ( 0 )
004E:0006 ( 6 )
004F:0000 ( 0 )
0050:0000 ( 0 )
0051:0000 ( 0 )
0052:0000 ( 0 )
0053:0002 ( 2 )
0054:0004 ( 4 )
0055:0003 ( 3 )
0056:0001 ( 1 )
0057:0001 ( 1 )
0058:0002 ( 2 )
0059:0001 ( 1 )
005A:000C ( 12 )
005B:0009 ( 9 )
005C:0000 ( 0 )
005D:0000 ( 0 )
005E:0000 ( 0 )
005F:0006 ( 6 )
0060:0005 ( 5 )
0061:0007 ( 7 )
0062:0000 ( 0 )
0063:0000 ( 0 )
0064:0000 ( 0 )
0065:0000 ( 0 )
0066:0000 ( 0 )
0067:0000 ( 0 )
0068:0000 ( 0 )
0069:0001 ( 1 )
006A:0000 ( 0 )
006B:0000 ( 0 )
006C:0000 ( 0 )
006D:0000 ( 0 )
