#	Paperdoll information for Black Gate.
#	Has two sections: one for characters and one for items.
#
#	February 4, 2006 - Derived from gumps/Paperdoll_gump_info.cc
#


%%section characters
#Shp: The NPC's SHAPE number
#fmale: 1 if female, 0 if male
#bsh: Body shape (in paperdol.vga)
#bf: Body frame
#hds: Head shape (in paperdol.vga)
#hf: Head frame
#hh: Head frame when wearing helmet
#ash: Arm shape
#af: Arm frame without weapons or with 1-handed weapons
#a2: Arm frame for two-handed weapons
#as: Arm frame for staves
#cg: For BG only, this is the character's gump when paperdolls are disabled.
#
#Format:
#:Shp/	fmale/		bsh/	bf/		hds/	hf/		hh/		ash/	af/		a2/		as/		cg

#	Avatar Female White
:1029/		1/		13/		0/		4/		0/		1/		7/		0/		2/		4/		58
:1035/		1/		13/		0/		4/		0/		1/		7/		0/		2/		4/		58
:989/		1/		13/		0/		4/		0/		1/		7/		0/		2/		4/		58

#	Avatar Female Brown
:1027/		1/		13/		1/		4/		2/		3/		130/	0/		2/		4/		58
:1033/		1/		13/		1/		4/		2/		3/		130/	0/		2/		4/		58

#	Avatar Female Black
:1025/		1/		13/		2/		4/		4/		5/		131/	0/		2/		4/		58
:1031/		1/		13/		2/		4/		4/		5/		131/	0/		2/		4/		58

#	Avatar Male White
:1028/		0/		14/		0/		128/	0/		1/		7/		1/		3/		5/		57
:1034/		0/		14/		0/		128/	0/		1/		7/		1/		3/		5/		57
:721/		0/		14/		0/		128/	0/		1/		7/		1/		3/		5/		57

#	Avatar Male Brown
:1026/		0/		14/		1/		128/	2/		3/		130/	1/		3/		5/		57
:1032/		0/		14/		1/		128/	2/		3/		130/	1/		3/		5/		57

#	Avatar Male Black
:1024/		0/		14/		2/		128/	4/		5/		131/	1/		3/		5/		57
:1030/		0/		14/		2/		128/	4/		5/		131/	1/		3/		5/		57

#	Iolo
:465/		0/		14/		0/		125/	0/		1/		7/		1/		3/		5/		59
#	Shamino 
:487/		0/		14/		0/		126/	0/		1/		7/		1/		3/		5/		61
#	Dupre
